case:concept:name,concept:name,amount,article,dismissal,expense,lastSent,lifecycle:transition,notificationType,org:resource,paymentAmount,points,time:timestamp,totalPaymentAmount,vehicleClass
A14816,Create Fine,36,157,NIL,,,complete,,559,,0,2007-07-02 00:00:00+02:00,0,A
A14816,Send Fine,,,,13,,complete,,,,,2007-09-29 00:00:00+02:00,,
A14816,Insert Fine Notification,,,,,P,complete,P,,,,2007-10-12 00:00:00+02:00,,
A14816,Add penalty,74,,,,,complete,,,,,2007-12-11 00:00:00+01:00,,
A14816,Send for Credit Collection,,,,,,complete,,,,,2009-03-30 00:00:00+02:00,,
S132229,Create Fine,22,181,NIL,,,complete,,56,,0,2008-12-23 00:00:00+01:00,0,A
S132229,Send Fine,,,,0,,complete,,,,,2009-01-28 00:00:00+01:00,,
S132229,Insert Fine Notification,,,,,,complete,P,,,,2009-01-28 00:00:00+01:00,,
S132229,Add penalty,44,,,,,complete,,,,,2009-03-29 00:00:00+01:00,,
S132229,Send for Credit Collection,,,,,,complete,,,,,2010-10-15 00:00:00+02:00,,
N33329,Create Fine,32.8,157,I,,,complete,,538,,0,2001-04-02 00:00:00+02:00,0,A
N33329,Send Fine,,,,6.71,,complete,,,,,2001-06-07 00:00:00+02:00,,
S83371,Create Fine,33.6,7,NIL,,,complete,,52,,0,2003-08-15 00:00:00+02:00,0,A
S83371,Payment,,,,,,complete,,,33.6,,2003-08-18 00:00:00+02:00,33.6,
N74006,Create Fine,21,7,NIL,,,complete,,555,,0,2005-05-10 00:00:00+02:00,0,A
N74006,Send Fine,,,,14.25,,complete,,,,,2005-09-17 00:00:00+02:00,,
N74006,Insert Fine Notification,,,,,P,complete,P,,,,2005-10-05 00:00:00+02:00,,
N74006,Add penalty,42.5,,,,,complete,,,,,2005-12-04 00:00:00+01:00,,
N74006,Send for Credit Collection,,,,,,complete,,,,,2007-02-28 00:00:00+01:00,,
N29297,Create Fine,31.3,157,NIL,,,complete,,536,,0,2000-09-28 00:00:00+02:00,0,A
N29297,Send Fine,,,,6.71,,complete,,,,,2000-11-10 00:00:00+01:00,,
N29297,Insert Fine Notification,,,,,N,complete,P,,,,2000-12-02 00:00:00+01:00,,
N29297,Add penalty,62.59,,,,,complete,,,,,2001-01-31 00:00:00+01:00,,
N29297,Send for Credit Collection,,,,,,complete,,,,,2002-04-10 00:00:00+02:00,,
S77408,Create Fine,32,157,NIL,,,complete,,820,,0,2002-08-19 00:00:00+02:00,0,A
S77408,Send Fine,,,,10,,complete,,,,,2002-10-25 00:00:00+02:00,,
S77408,Insert Fine Notification,,,,,N,complete,P,,,,2002-10-31 00:00:00+01:00,,
S77408,Add penalty,65.5,,,,,complete,,,,,2002-12-30 00:00:00+01:00,,
S77408,Send for Credit Collection,,,,,,complete,,,,,2004-01-10 00:00:00+01:00,,
N78482,Create Fine,35,157,NIL,,,complete,,536,,0,2005-09-08 00:00:00+02:00,0,A
N78482,Send Fine,,,,11,,complete,,,,,2005-12-22 00:00:00+01:00,,
N74075,Create Fine,35,157,NIL,,,complete,,555,,0,2005-05-13 00:00:00+02:00,0,A
N74075,Payment,,,,,,complete,,,35,,2005-05-19 00:00:00+02:00,35,
A19204,Create Fine,22,7,NIL,,,complete,,560,,0,2007-06-08 00:00:00+02:00,0,A
A19204,Send Fine,,,,13,,complete,,,,,2007-09-13 00:00:00+02:00,,
A19204,Insert Fine Notification,,,,,P,complete,P,,,,2007-10-03 00:00:00+02:00,,
A19204,Add penalty,44,,,,,complete,,,,,2007-12-02 00:00:00+01:00,,
A19204,Send for Credit Collection,,,,,,complete,,,,,2009-03-30 00:00:00+02:00,,
N77682,Create Fine,35,157,NIL,,,complete,,541,,0,2005-03-27 00:00:00+01:00,0,A
N77682,Send Fine,,,,11,,complete,,,,,2005-07-23 00:00:00+02:00,,
S153533,Create Fine,78,158,NIL,,,complete,,850,,0,2010-06-29 00:00:00+02:00,0,A
S153533,Payment,,,,,,complete,,,78,,2010-07-05 00:00:00+02:00,78,
S61365,Create Fine,32.8,7,NIL,,,complete,,818,,0,2001-05-11 00:00:00+02:00,0,A
S61365,Send Fine,,,,11.88,,complete,,,,,2001-07-04 00:00:00+02:00,,
S61365,Payment,,,,,,complete,,,44.68,,2001-07-23 00:00:00+02:00,44.68,
S150741,Create Fine,38,7,NIL,,,complete,,850,,0,2010-05-03 00:00:00+02:00,0,A
S150741,Send Fine,,,,13.5,,complete,,,,,2010-08-20 00:00:00+02:00,,
S150741,Insert Fine Notification,,,,,P,complete,P,,,,2010-09-06 00:00:00+02:00,,
S150741,Add penalty,77.5,,,,,complete,,,,,2010-11-05 00:00:00+01:00,,
S150741,Send for Credit Collection,,,,,,complete,,,,,2012-03-26 00:00:00+02:00,,
N47046,Create Fine,33.6,157,NIL,,,complete,,538,,0,2003-01-22 00:00:00+01:00,0,A
N47046,Send Fine,,,,15.16,,complete,,,,,2003-05-20 00:00:00+02:00,,
N47046,Insert Fine Notification,,,,,N,complete,P,,,,2003-05-28 00:00:00+02:00,,
N47046,Add penalty,68.77,,,,,complete,,,,,2003-07-27 00:00:00+02:00,,
N47046,Payment,,,,,,complete,,,53.6,,2003-08-21 00:00:00+02:00,53.6,
N47046,Payment,,,,,,complete,,,30.33,,2003-10-22 00:00:00+02:00,83.93,
N36957,Create Fine,32.8,157,NIL,,,complete,,537,,0,2001-10-02 00:00:00+02:00,0,A
N36957,Payment,,,,,,complete,,,32.8,,2001-10-05 00:00:00+02:00,32.8,
N36957,Send Fine,,,,6.71,,complete,,,,,2001-11-24 00:00:00+01:00,,
A26153,Create Fine,36,157,NIL,,,complete,,537,,0,2008-01-24 00:00:00+01:00,0,A
A26153,Send Fine,,,,13,,complete,,,,,2008-03-01 00:00:00+01:00,,
S126332,Create Fine,36,157,NIL,,,complete,,26,,0,2008-07-20 00:00:00+02:00,0,A
S126332,Payment,,,,,,complete,,,36,,2008-08-01 00:00:00+02:00,36,
S70308,Create Fine,32.8,171,NIL,,,complete,,820,,0,2001-09-26 00:00:00+02:00,0,M
S70308,Send Fine,,,,11.87,,complete,,,,,2001-12-22 00:00:00+01:00,,
S70308,Insert Fine Notification,,,,,N,complete,P,,,,2002-01-11 00:00:00+01:00,,
S70308,Add penalty,65.6,,,,,complete,,,,,2002-03-12 00:00:00+01:00,,
S70308,Send for Credit Collection,,,,,,complete,,,,,2003-01-10 00:00:00+01:00,,
S125404,Create Fine,36,157,NIL,,,complete,,50,,0,2008-06-12 00:00:00+02:00,0,A
S125404,Send Fine,,,,13,,complete,,,,,2008-07-30 00:00:00+02:00,,
S125404,Insert Fine Notification,,,,,P,complete,P,,,,2008-08-06 00:00:00+02:00,,
S125404,Add penalty,74,,,,,complete,,,,,2008-10-05 00:00:00+02:00,,
S125404,Payment,,,,,,complete,,,87,,2009-07-15 00:00:00+02:00,87,
S68119,Create Fine,32.8,158,NIL,,,complete,,16,,0,2001-12-13 00:00:00+01:00,0,A
S68119,Send Fine,,,,6.71,,complete,,,,,2001-12-31 00:00:00+01:00,,
S68119,Payment,,,,,,complete,,,39.51,,2002-01-15 00:00:00+01:00,39.51,
A18477,Create Fine,36,157,NIL,,,complete,,556,,0,2007-07-12 00:00:00+02:00,0,A
A18477,Send Fine,,,,13,,complete,,,,,2007-10-31 00:00:00+01:00,,
A18477,Insert Fine Notification,,,,,P,complete,P,,,,2007-11-19 00:00:00+01:00,,
A18477,Add penalty,74,,,,,complete,,,,,2008-01-18 00:00:00+01:00,,
A18477,Payment,,,,,,complete,,,87,,2008-09-18 00:00:00+02:00,87,
S125452,Create Fine,36,157,NIL,,,complete,,53,,0,2008-06-13 00:00:00+02:00,0,A
S125452,Payment,,,,,,complete,,,36,,2008-07-19 00:00:00+02:00,36,
V6627,Create Fine,125.19,142,NIL,,,complete,,36,,0,2000-09-05 00:00:00+02:00,0,A
V6627,Send Fine,,,,6.71,,complete,,,,,2000-11-10 00:00:00+01:00,,
V6627,Insert Fine Notification,,,,,N,complete,P,,,,2000-12-19 00:00:00+01:00,,
V6627,Add penalty,250.38,,,,,complete,,,,,2001-02-17 00:00:00+01:00,,
V6627,Send for Credit Collection,,,,,,complete,,,,,2002-04-10 00:00:00+02:00,,
